customer_id,first_name,last_name
2,PATRICIA,JOHNSON
12,NANCY,THOMAS
18,CAROL,GARCIA
21,MICHELLE,CLARK
26,JESSICA,HALL
28,CYNTHIA,YOUNG
34,REBECCA,SCOTT
42,CAROLYN,PEREZ
43,CHRISTINE,ROBERTS
46,CATHERINE,CAMPBELL
47,FRANCES,PARKER
49,JOYCE,EDWARDS
51,ALICE,STEWART
59,CHERYL,MURPHY
66,JANICE,WARD
68,NICOLE,PETERSON
70,CHRISTINA,RAMIREZ
79,RACHEL,BARNES
86,JACQUELINE,LONG
102,CRYSTAL,FORD
106,CONNIE,WALLACE
107,FLORENCE,WOODS
108,TRACY,COLE
111,CARMEN,OWENS
113,CINDY,FISHER
114,GRACE,ELLIS
116,VICTORIA,GIBSON
129,CARRIE,PORTER
130,CHARLOTTE,HUNTER
131,MONICA,HICKS
144,CLARA,SHAW
145,LUCILLE,HOLMES
152,ALICIA,MILLS
154,MICHELE,GRANT
158,VERONICA,STONE
163,CATHY,SPENCER
169,ERICA,MATTHEWS
170,BEATRICE,ARNOLD
172,BERNICE,WILLIS
180,STACY,CUNNINGHAM
201,VICKI,FIELDS
202,CARLA,GUTIERREZ
208,LUCY,WHEELER
211,STACEY,MONTGOMERY
220,CHARLENE,ALVAREZ
227,COLLEEN,BURTON
232,CONSTANCE,REID
234,CLAUDIA,FULLER
235,JACKIE,LYNCH
236,MARCIA,DEAN
245,COURTNEY,DAY
248,CAROLINE,BOWMAN
251,VICKIE,BREWER
260,CHRISTY,VARGAS
269,CASSANDRA,WALTERS
273,PRISCILLA,LOWE
275,CAROLE,BARNETT
280,TRACEY,BARRETT
283,FELICIA,SUTTON
287,BECKY,MILES
302,MICHAEL,SILVERMAN
305,RICHARD,MCCRARY
306,CHARLES,KOWALSKI
309,CHRISTOPHER,GRECO
330,SCOTT,SHELLEY
331,ERIC,ROBERT
340,PATRICK,NEWSOM
345,CARL,ARTIS
351,JACK,FOUST
361,LAWRENCE,LAWTON
362,NICHOLAS,BARFIELD
365,BRUCE,SCHWARZ
379,CARLOS,COUGHLIN
382,VICTOR,BARKLEY
388,CRAIG,MORRELL
391,CLARENCE,GAMEZ
394,CHRIS,BROTHERS
410,CURTIS,IRBY
414,VINCENT,RALSTON
419,CHAD,CARBONE
420,JACOB,LANCE
425,FRANCIS,SIKES
429,FREDERICK,ISBELL
435,RICKY,SHELBY
443,FRANCISCO,SKIDMORE
444,MARCUS,HIDALGO
445,MICHEAL,FORMAN
447,CLIFFORD,BOWENS
449,OSCAR,AQUINO
453,CALVIN,MARTEL
476,DERRICK,BOURQUE
479,ZACHARY,HITE
480,COREY,HAUSER
482,MAURICE,CRAWLEY
485,CLYDE,TOBIAS
487,HECTOR,POINDEXTER
489,RICARDO,MEADOR
491,RICK,MATTOX
495,CHARLIE,BESS
499,MARC,OUTLAW
511,CHESTER,BENNER
512,CECIL,VINES
520,MITCHELL,WESTMORELAND
527,CORY,MEEHAN
528,CLAUDE,HERZOG
534,CHRISTIAN,JUNG
537,CLINTON,BUFORD
543,LANCE,PEMBERTON
544,CODY,NOLEN
551,CLAYTON,BARBEE
562,WALLACE,SLONE
566,CASEY,MENA
575,ISAAC,OGLESBY
577,CLIFTON,MALCOLM
589,TRACY,HERRMANN
592,TERRANCE,ROUSH
595,TERRENCE,GUNDERSON
